Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,323.029999,325.119995,322.660004,323.500000,313.391998,84062500
2020-01-28,325.059998,327.850006,323.600006,326.890015,316.676117,63834000
2020-01-29,328.380005,328.630005,326.399994,326.619995,316.414520,53888900
2020-01-30,324.359985,327.910004,323.540009,327.679993,317.441376,75491800
2020-01-31,327.000000,327.170013,320.730011,321.730011,311.677307,113845600
2020-02-03,323.350006,326.160004,323.220001,324.119995,313.992584,69083000
2020-02-04,328.070007,330.010010,327.720001,329.059998,318.778290,62573200
2020-02-05,332.269989,333.089996,330.670013,332.859985,322.459534,65951100
2020-02-06,333.910004,334.190002,332.799988,333.980011,323.544556,50359700
2020-02-07,332.820007,333.989990,331.600006,332.200012,321.820190,64139400
2020-02-10,331.230011,334.750000,331.190002,334.679993,324.222656,42070000
2020-02-11,336.160004,337.019989,334.679993,335.260010,324.784546,54864500
2020-02-12,336.829987,337.649994,336.429993,337.420013,326.877075,43992700
2020-02-13,335.859985,338.119995,335.559998,337.059998,326.528320,54501900
2020-02-14,337.510010,337.730011,336.200012,337.600006,327.051453,64582200
2020-02-18,336.510010,337.670013,335.209991,336.730011,326.208649,57226200
2020-02-19,337.790009,339.079987,337.480011,338.339996,327.768311,48814700
2020-02-20,337.739990,338.640015,333.679993,336.950012,326.421783,74163400
2020-02-21,335.470001,335.809998,332.579987,333.480011,323.060120,113788200
2020-02-24,323.140015,333.559998,321.239990,322.420013,312.345764,161088400
2020-02-25,323.940002,324.609985,311.690002,312.649994,302.881012,218913200
2020-02-26,314.179993,318.109985,310.700012,311.500000,301.766937,194773800
2020-02-27,305.459991,311.559998,297.510010,297.510010,288.214081,284353500
2020-02-28,288.700012,297.890015,285.540009,296.260010,287.003143,384975800
2020-03-02,298.209991,309.160004,294.459991,309.089996,299.432251,238703600
2020-03-03,309.500000,313.839996,297.570007,300.239990,290.858765,300139100
2020-03-04,306.119995,313.100006,303.329987,312.859985,303.084442,176613400
2020-03-05,304.980011,308.470001,300.010010,302.459991,293.009369,186366800
2020-03-06,293.149994,298.779999,290.230011,297.459991,288.165588,228667200
2020-03-09,275.299988,284.190002,273.450012,274.230011,265.661530,309417300
2020-03-10,284.640015,288.519989,273.500000,288.420013,279.408112,276444100
2020-03-11,280.700012,281.940002,270.880005,274.359985,265.787384,255316300
2020-03-12,256.000000,266.660004,247.679993,248.110001,240.357635,392220700
2020-03-13,263.089996,271.480011,248.520004,269.320007,260.904877,329566100
2020-03-16,241.179993,256.899994,237.360001,239.850006,232.355713,297240000
2020-03-17,245.039993,256.170013,237.070007,252.800003,244.901077,262070500
2020-03-18,236.250000,248.369995,228.020004,240.000000,232.501007,327597100
2020-03-19,239.250000,247.380005,232.220001,240.509995,232.995071,289322000
2020-03-20,242.529999,244.470001,228.500000,228.800003,222.954346,347158800
2020-03-23,228.190002,229.679993,218.259995,222.949997,217.253799,326025200
2020-03-24,234.419998,244.100006,233.800003,243.149994,236.937698,235494500
2020-03-25,244.869995,256.350006,239.750000,246.789993,240.484726,299430300
2020-03-26,249.520004,262.799988,249.050003,261.200012,254.526535,257632800
2020-03-27,253.270004,260.809998,251.050003,253.419998,246.945313,224341200
2020-03-30,255.699997,262.429993,253.529999,261.649994,254.965088,171369500
2020-03-31,260.559998,263.329987,256.220001,257.750000,251.164719,194881100
2020-04-01,247.979996,257.660004,243.899994,246.149994,239.861053,189554600
2020-04-02,245.190002,252.679993,244.589996,251.830002,245.395950,177660400
2020-04-03,250.759995,253.320007,245.220001,248.190002,241.848953,135561200
2020-04-06,257.839996,267.000000,248.169998,264.859985,258.093018,188061200
